ID	Rank1	Rank2	Rank3	Rank4	Rank5	Decision
ROST	0.50005	0.29368	0.14297	0.05053	0.01277	-0
UNH	0.08268	0.28441	0.40204	0.20474	0.02613	-0
URI	0.3532	0.45465	0.15978	0.02753	0.00484	0
V	0.32109	0.37349	0.22109	0.0735	0.01083	0.0081
VRSK	0.28607	0.50589	0.17714	0.02736	0.00354	0
WRK	0.04216	0.06163	0.15036	0.29831	0.44754	1E-05
XOM	0.30459	0.14141	0.17477	0.1824	0.19683	0.03395
IVV	0.39291	0.37737	0.1679	0.04633	0.01549	-0
IWM	0.43973	0.38575	0.13738	0.02983	0.00731	0
EWU	0.14194	0.3113	0.32505	0.17824	0.04347	0
EWG	0.11673	0.21741	0.34853	0.25285	0.06448	0
EWL	0.14422	0.1974	0.29586	0.25572	0.1068	0
EWQ	0.07142	0.1392	0.26662	0.32642	0.19634	0
IEUS	0.07754	0.19984	0.36375	0.28489	0.07398	0
EWJ	0.08389	0.1392	0.23726	0.29884	0.24081	0
EWT	0.04789	0.08036	0.21357	0.36204	0.29614	1E-05
MCHI	0.15218	0.32819	0.32829	0.15013	0.04121	1E-05
INDA	0.0024	0.03433	0.27729	0.50975	0.17623	0
EWY	0.11707	0.17807	0.29201	0.28597	0.12688	0
EWA	0.00561	0.00864	0.03694	0.15537	0.79344	0
EWH	0.27234	0.52299	0.17587	0.02589	0.00291	-0
EWZ	0.18145	0.38943	0.32328	0.09696	0.00888	-0.20282
EWC	0.11495	0.22852	0.33648	0.24705	0.073	0
IEMG	0.43161	0.40652	0.13311	0.02352	0.00524	0
LQD	0.24562	0.15458	0.19833	0.21541	0.18606	0
HYG	0.03579	0.11466	0.28458	0.37624	0.18873	-0
SHY	0.35344	0.20473	0.15612	0.13217	0.15354	0
IEF	0.27679	0.32004	0.24895	0.11974	0.03448	0
TLT	0.23847	0.31948	0.2747	0.13448	0.03287	0
SEGA.L	0.07365	0.34204	0.43311	0.14418	0.00702	0
IEAA.L	0.60889	0.19623	0.11472	0.05705	0.02311	0
HIGH.L	0.04656	0.25852	0.45561	0.22108	0.01823	-0
JPEA.L	0.0373	0.09362	0.24351	0.37423	0.25134	-0
IAU	0.27777	0.32469	0.25208	0.12016	0.0253	0
SLV	0.56246	0.27451	0.10765	0.03917	0.01621	-0.00826
GSG	0.14539	0.29157	0.30015	0.18974	0.07315	0.04158
REET	0.17135	0.40339	0.30917	0.09981	0.01628	0
ICLN	0.03732	0.04813	0.12356	0.28682	0.50417	-0.05393
IXN	0.03208	0.13319	0.3608	0.36635	0.10758	0
IGF	0.45328	0.35278	0.14978	0.03537	0.00879	0
IUVL.L	0.1483	0.34927	0.35057	0.13735	0.01451	0
IUMO.L	0.68714	0.21353	0.07204	0.02154	0.00575	0
SPMV.L	0.00048	0.00257	0.03149	0.23241	0.73305	-0
IEVL.L	0.18068	0.32737	0.31356	0.15215	0.02624	0
IEFM.L	0.37767	0.06529	0.06078	0.10276	0.3935	-0
MVEU.L	0.51533	0.28108	0.13127	0.05202	0.0203	-0
XLK	0.16657	0.23189	0.29562	0.22272	0.0832	0
XLF	0.17268	0.19675	0.28843	0.23938	0.10276	0
XLV	0.31747	0.1844	0.17253	0.16885	0.15675	0
XLE	0.02718	0.10519	0.35044	0.3922	0.12499	0
XLY	0.05291	0.15879	0.33507	0.33142	0.12181	1E-05
XLI	0.0027	0.0063	0.04017	0.21598	0.73485	-0
XLC	0.25387	0.43664	0.24523	0.05792	0.00634	0
XLU	0.05084	0.07467	0.16509	0.30234	0.40706	0
XLP	0.1338	0.18457	0.27348	0.26726	0.14089	0
XLB	0.02802	0.0456	0.15047	0.35189	0.42402	0
VXX	0.35793	0.3408	0.20311	0.08008	0.01808	-0
